name,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat
cratio,0.082(0.01),0.921(0.008),0.8(0.03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.084(0.009),0.921(0.008),0.791(0.027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,2.477(0.012),0.278(0.002),0.257(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,2.914(0.043),0.272(0.002),0.232(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.68(0.022),0.283(0.001),0.232(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.548(0.014),0.279(0.002),0.34(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.501(0.013),0.278(0.001),0.256(0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.543(0.057),0.568(0.03),0.56(0.029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.7(0.08),0.565(0.028),0.546(0.031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.547(0.092),0.644(0.029),0.64(0.03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.555(0.053),0.558(0.03),0.552(0.029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.563(0.054),0.567(0.027),0.556(0.027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,3.218(0.171),0.288(0.019),0.256(0.018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
