name,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat
acat,0.121(0.026),0.892(0.022),0.806(0.031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,3.34(0.02),0.258(0.002),0.245(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,4.139(0.035),0.245(0.002),0.203(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,3.777(0.043),0.257(0.005),0.225(0.01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,3.438(0.019),0.262(0.002),0.24(0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,3.639(0.02),0.255(0.002),0.228(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.562(0.063),0.567(0.031),0.561(0.032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.73(0.116),0.567(0.034),0.543(0.04),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.562(0.103),0.642(0.032),0.637(0.033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.565(0.053),0.563(0.03),0.558(0.032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.568(0.054),0.565(0.03),0.557(0.031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,3.141(0.241),0.293(0.025),0.269(0.028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,3.04(0.21),0.265(0.024),0.255(0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,3.086(0.235),0.266(0.023),0.256(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,3.22(0.223),0.288(0.027),0.259(0.027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,3.403(0.225),0.29(0.021),0.251(0.021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.77(0.014),0.525(0.006),0.528(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.339(0.045),0.473(0.007),0.448(0.011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.794(0.014),0.557(0.004),0.554(0.004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.787(0.013),0.516(0.006),0.518(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.787(0.015),0.523(0.006),0.522(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,2.66(0.089),0.333(0.011),0.341(0.011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,4.362(0.319),0.302(0.01),0.314(0.021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.715(0.136),0.356(0.011),0.351(0.012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.83(0.089),0.316(0.011),0.323(0.011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.661(0.095),0.329(0.012),0.33(0.013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.329(0.028),0.693(0.025),0.724(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.331(0.043),0.744(0.02),0.747(0.02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.223(0.045),0.819(0.022),0.831(0.02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.33(0.028),0.693(0.024),0.724(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.33(0.027),0.692(0.024),0.724(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,1.003(0.108),0.504(0.033),0.505(0.032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.252(0.124),0.465(0.028),0.451(0.031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.141(0.098),0.475(0.026),0.467(0.026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,1.017(0.107),0.49(0.031),0.49(0.031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,1.042(0.104),0.5(0.031),0.496(0.031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
